Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"LEP","Leptin","Protein Coding","P41159","59","GC07P128241","77.7389373779297","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP"
"MC4R","Melanocortin 4 Receptor","Protein Coding","P32245","59","GC18M060371","68.472785949707","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MC4R"
"POMC","Proopiomelanocortin","Protein Coding","P01189","61","GC02M025160","55.0955429077148","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POMC"
"LEPR","Leptin Receptor","Protein Coding","P48357","63","GC01P065444","52.5128211975098","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPR"
"PPARG","Peroxisome Proliferator Activated Receptor Gamma","Protein Coding","P37231","66","GC03P012287","48.9025650024414","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG"
"FTO","FTO Alpha-Ketoglutarate Dependent Dioxygenase","Protein Coding","Q9C0B1","59","GC16P097259","48.5623817443848","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTO"
"INS","Insulin","Protein Coding","P01308","60","GC11M002159","44.1219940185547","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS"
"PCSK1","Proprotein Convertase Subtilisin/Kexin Type 1","Protein Coding","P29120","62","GC05M096391","42.1340713500977","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK1"
"GHRL","Ghrelin And Obestatin Prepropeptide","Protein Coding","Q9UBU3","55","GC03M010285","36.9968147277832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHRL"
"ADIPOQ","Adiponectin, C1Q And Collagen Domain Containing","Protein Coding","Q15848","59","GC03P186842","36.6110725402832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOQ"
"UCP3","Uncoupling Protein 3","Protein Coding","P55916","55","GC11M074000","36.1750907897949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCP3"
"ADRB3","Adrenoceptor Beta 3","Protein Coding","P13945","56","GC08M037962","34.3993492126465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRB3"
"UCP2","Uncoupling Protein 2","Protein Coding","P55851","59","GC11M073974","34.2241668701172","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCP2"
"SIM1","SIM BHLH Transcription Factor 1","Protein Coding","P81133","54","GC06M100386","32.3723945617676","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIM1"
"AFF4","ALF Transcription Elongation Factor 4","Protein Coding","Q9UHB7","55","GC05M132875","31.9282054901123","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AFF4"
"ENPP1","Ectonucleotide Pyrophosphatase/Phosphodiesterase 1","Protein Coding","P22413","63","GC06P131808","31.9254302978516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPP1"
"CAST","Calpastatin","Protein Coding","P20810","61","GC05P095975","31.2959232330322","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAST"
"LOC101929710","Uncharacterized LOC101929710","RNA Gene","","18","GC05P095962","31.2308044433594","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC101929710"
"MC3R","Melanocortin 3 Receptor","Protein Coding","P41968","53","GC20P056248","30.1428241729736","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MC3R"
"BDNF-AS","BDNF Antisense RNA","RNA Gene","","31","GC11P027466","28.4206485748291","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF-AS"
"PHIP","Pleckstrin Homology Domain Interacting Protein","Protein Coding","Q8WWQ0","52","GC06M078934","26.8043632507324","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHIP"
"RETN","Resistin","Protein Coding","Q9HD89","55","GC19P007669","25.5187511444092","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RETN"
"PYY","Peptide YY","Protein Coding","P10082","55","GC17M043952","25.4532814025879","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYY"
"UCP1","Uncoupling Protein 1","Protein Coding","P25874","56","GC04M140559","24.9704837799072","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCP1"
"BDNF","Brain Derived Neurotrophic Factor","Protein Coding","P23560","63","GC11M027654","24.5253715515137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDNF"
"NTRK2","Neurotrophic Receptor Tyrosine Kinase 2","Protein Coding","Q16620","66","GC09P084668","24.1597099304199","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK2"
"CEP19","Centrosomal Protein 19","Protein Coding","Q96LK0","45","GC03M196706","23.1576690673828","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP19"
"ADCY3","Adenylate Cyclase 3","Protein Coding","O60266","60","GC02M024819","22.8895206451416","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCY3"
"ADRB2","Adrenoceptor Beta 2","Protein Coding","P07550","62","GC05P153697","22.6017894744873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRB2"
"IL6","Interleukin 6","Protein Coding","P05231","64","GC07P022725","22.4408798217773","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6"
"DYRK1B","Dual Specificity Tyrosine Phosphorylation Regulated Kinase 1B","Protein Coding","Q9Y463","57","GC19M039825","22.3288688659668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DYRK1B"
"AGRP","Agouti Related Neuropeptide","Protein Coding","O00253","54","GC16M067482","21.9569759368896","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGRP"
"HSD11B1","Hydroxysteroid 11-Beta Dehydrogenase 1","Protein Coding","P28845","63","GC01P209686","21.7232513427734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSD11B1"
"GNAS","GNAS Complex Locus","Protein Coding","P84996","62","GC20P058839","21.3775062561035","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAS"
"LPL","Lipoprotein Lipase","Protein Coding","P06858","63","GC08P019901","21.2497825622559","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPL"
"NR0B2","Nuclear Receptor Subfamily 0 Group B Member 2","Protein Coding","Q15466","54","GC01M031719","20.9357833862305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR0B2"
"H19","H19 Imprinted Maternally Expressed Transcript","RNA Gene","","36","GC11M001995","20.8701934814453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19"
"APOB","Apolipoprotein B","Protein Coding","P04114","59","GC02M020956","20.4111194610596","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOB"
"PRMT7","Protein Arginine Methyltransferase 7","Protein Coding","Q9NVM4","56","GC16P097697","20.3144950866699","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRMT7"
"KIDINS220","Kinase D Interacting Substrate 220","Protein Coding","Q9ULH0","54","GC02M008724","20.2401790618896","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIDINS220"
"TNF","Tumor Necrosis Factor","Protein Coding","P01375","65","GC06P144764","20.2064647674561","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNF"
"SH2B1","SH2B Adaptor Protein 1","Protein Coding","Q9NRF2","54","GC16P096578","20.033317565918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH2B1"
"TRAPPC9","Trafficking Protein Particle Complex Subunit 9","Protein Coding","Q96Q05","51","GC08M139728","19.9314060211182","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC9"
"INSR","Insulin Receptor","Protein Coding","P06213","67","GC19M007112","19.7416744232178","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSR"
"IGF1","Insulin Like Growth Factor 1","Protein Coding","P05019","61","GC12M102395","19.7282848358154","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGF1"
"VPS13B","Vacuolar Protein Sorting 13 Homolog B","Protein Coding","Q7Z7G8","53","GC08P099075","19.5852146148682","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS13B"
"LIPE","Lipase E, Hormone Sensitive Type","Protein Coding","Q05469","60","GC19M042401","19.3529167175293","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPE"
"PDSS1","Decaprenyl Diphosphate Synthase Subunit 1","Protein Coding","Q5T2R2","55","GC10P026697","19.2180652618408","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDSS1"
"AOMS1","Abdominal Obesity-Metabolic Syndrome QTL1","Genetic Locus","","5","GC03U990183","19.0991802215576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AOMS1"
"BBS10","Bardet-Biedl Syndrome 10","Protein Coding","Q8TAM1","52","GC12M076344","19.0787296295166","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBS10"
"CRP","C-Reactive Protein","Protein Coding","P02741","59","GC01M164127","19.0690631866455","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRP"
"RBP4","Retinol Binding Protein 4","Protein Coding","P02753","58","GC10M093591","19.0656795501709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBP4"
"TUB","TUB Bipartite Transcription Factor","Protein Coding","P50607","55","GC11P008019","19.0392894744873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TUB"
"LEPQTL1","Leptin, Serum Levels Of","Genetic Locus","","11","GC02U903086","19.0385551452637","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPQTL1"
"LOC129933280","ATAC-STARR-Seq Lymphoblastoid Silent Region 11244","Functional Element","","8","GC02P025161","18.8773059844971","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC129933280"
"INPP5E","Inositol Polyphosphate-5-Phosphatase E","Protein Coding","Q9NRR6","54","GC09M136428","18.6178131103516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=INPP5E"
"BBS1","Bardet-Biedl Syndrome 1","Protein Coding","Q8NFJ9","52","GC11P094727","18.4319171905518","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBS1"
"LIPC","Lipase C, Hepatic Type","Protein Coding","P11150","59","GC15P058410","18.3632297515869","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPC"
